New Records,fmt/276,Acrobat PDF 1.7 - Portable Document Format: Full entry added
New Records,fmt/277,ESRI Arc/View Shapefile Index: Outline entry added
New Records,fmt/278,Internet Message Format: Full entry added
New Records,fmt/279,FLAC (Free Lossless Audio Codec): Outline entry added
Updated Records,fmt/14,Acrobat PDF 1.0 - Portable Document Format: Signature updated as part of DROID 5.0 research to improve efficiency
Updated Records,fmt/15,Acrobat PDF 1.1 - Portable Document Format: Signature updated as part of DROID 5.0 research to improve efficiency
Updated Records,fmt/16,Acrobat PDF 1.2 - Portable Document Format: Signature updated as part of DROID 5.0 research to improve efficiency
Updated Records,fmt/17,Acrobat PDF 1.3 - Portable Document Format: Signature updated as part of DROID 5.0 research to improve efficiency
Updated Records,fmt/18,Acrobat PDF 1.4 - Portable Document Format: Signature updated as part of DROID 5.0 research to improve efficiency
Updated Records,fmt/19,Acrobat PDF 1.5 - Portable Document Format: Signature updated as part of DROID 5.0 research to improve efficiency
Updated Records,fmt/20,Acrobat PDF 1.6 - Portable Document Format: Signature updated as part of DROID 5.0 research to improve efficiency
Updated Records,fmt/96,Hyptertext Markup Language - Pre 2.0: Signature update as part of DROID 5.0 research to improve identification accuracy
Updated Records,fmt/97,Hyptertext Markup Language - 2.0: Signature update as part of DROID 5.0 research to improve identification accuracy
Updated Records,fmt/98,Hyptertext Markup Language - 3.2: Signature update as part of DROID 5.0 research to improve identification accuracy
Updated Records,fmt/99,Hyptertext Markup Language - 4.0: Signature update as part of DROID 5.0 research to improve identification accuracy
Updated Records,fmt/100,Hyptertext Markup Language - 4.01: Signature update as part of DROID 5.0 research to improve identification accuracy
Updated Records,x-fmt/412,Java Archive Format: Signature updated as part of DROID 5.0 research to improve efficiency
Signatures,fmt/161,SIARD (Software-Independnent Archiving of Relational Databases) - 2.0: Signature developed from information provided by The Swiss Federal Archives
Signatures,fmt/276,Acrobat PDF 1.7 - Portable Document Format: Signature developed through DROID 5.0 research
Signatures,fmt/277,ESRI Arc/View Shapefile Index: Signature developed through DROID 5.0 research
Signatures,fmt/278,Internet Message Format: Signature developed by Digital Preservation Department
Signatures,fmt/279,FLAC (Free Lossless Audio Codec): Signature developed from FLAC documentation
Signatures,x-fmt/235,ESRI Arc/View ShapeFile: Signature developed through DROID 5.0 research
Signatures,x-fmt/387,Exchangeable Image File Format (EXIF) - 2.2 (Uncompressed): Signature developed through DROID 5.0 research
Signatures,x-fmt/388,Exchangeable Image File Format (EXIF) - 2.1 (Uncompressed): Signature developed through DROID 5.0 research
Signatures,x-fmt/399,Exchangeable Image File Format (EXIF) - 2.0 (Uncompressed): Signature developed through DROID 5.0 research
