New Records,fmt/335,Dreamweaver Lock File: Outline entry added.
New Records,fmt/336,Graphic Workshop for Windows Thumbnail File: Outline entry added.
New Records,fmt/337,Motion JPEG2000: Outline entry added.
Updated Records,fmt/124,Encapsulated PostScript File Format 3: Record title updated to encompass different versions.
Updated Records,x-fmt/263,ZIP Format: Existing signature refined through PRONOM Research.
Updated Records,x-fmt/91,PostScript 1.0: Priority information changed to avoid potential clash with EndNote Import File identification.
Updated Records,x-fmt/406,PostScript 2.0: Priority information changed to avoid potential clash with EndNote Import File identification.
Updated Records,x-fmt/407,PostScript 2.1: Priority information changed to avoid potential clash with EndNote Import File identification.
Updated Records,x-fmt/408,PostScript 3.0: Existing signature refined through PRONOM Research and priority information changed to avoid potential clash with EndNote Import File identification.
Signatures,fmt/124,Encapsulated PostScript File Format 3: New signature developed through PRONOM Research to identify different versions.
Signatures,fmt/217,PaintShopPro Browser Cache File: Signature developed through PRONOM Research.
Signatures,fmt/335,Dreamweaver Lock File: Signature developed through PRONOM Research.
Signatures,fmt/336,Graphic Workshop for Windows Thumbnail File: Signature developed through PRONOM Research.
Signatures,x-fmt/190,RealAudio Video: Signature developed through PRONOM Research.
Signatures,x-fmt/414,Windows Cabinet File: Signature developed through PRONOM Research.
