New Records,fmt/754,Microsoft Word Document (Password Protected) 97-2003: Full entry added.
New Records,fmt/755,Microsoft Word Template (Password Protected) 97-2003: Full entry added.
New Records,fmt/756,Zope export file: Full entry added.
New Records,fmt/757,Adobe Flash 11: Full entry added.
New Records,fmt/758,Adobe Flash 12: Full entry added.
New Records,fmt/759,Adobe Flash 13: Full entry added.
New Records,fmt/760,Adobe Flash 14: Full entry added.
New Records,fmt/761,Adobe Flash 15: Full entry added.
New Records,fmt/762,Adobe Flash 16: Full entry added.
New Records,fmt/763,Adobe Flash 17: Full entry added.
New Records,fmt/764,Adobe Flash 18: Full entry added.
New Records,fmt/765,Adobe Flash 19: Full entry added.
New Records,fmt/766,Adobe Flash 20: Full entry added.
New Records,fmt/767,Adobe Flash 21: Full entry added.
New Records,fmt/768,Adobe Flash 22: Full entry added.
New Records,fmt/769,Adobe Flash 23: Full entry added.
New Records,fmt/770,Adobe Flash 24: Full entry added.
New Records,fmt/771,Adobe Flash 25: Full entry added.
New Records,fmt/772,Adobe Flash 26: Full entry added.
New Records,fmt/773,Adobe Flash 27: Full entry added.
New Records,fmt/774,Adobe Flash 28: Full entry added.
New Records,fmt/775,Adobe Flash 29: Full entry added.
New Records,fmt/776,Adobe Flash 30: Full entry added.
New Records,fmt/777,Microsoft Network Monitor Packet Capture 1: Full entry added.
New Records,fmt/778,Microsoft Network Monitor Packet Capture 2: Full entry added.
New Records,fmt/779,pcap Packet Capture: Full entry added.
New Records,fmt/780,pcap Next Generation Capture: Full entry added.
New Records,fmt/781,Snoop Packet Capture: Full entry added.
New Records,fmt/782,PowerVR Object Data: Full entry added.
New Records,fmt/783,Material Exchange Format Operational Pattern 1b: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/784,Material Exchange Format Operational Pattern 1c: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/785,Material Exchange Format Operational Pattern 2a: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/786,Material Exchange Format Operational Pattern 2b: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/787,Material Exchange Format Operational Pattern 2c: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/788,Material Exchange Format Operational Pattern 3a: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/789,Material Exchange Format Operational Pattern 3b: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/790,Material Exchange Format Operational Pattern 3c: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/791,Material Exchange Format Operational Pattern OP-ATOM: Full entry added. MXF now has multiple PRONOM entries.
New Records,fmt/792,Unified Emulator Format: Full entry added.
New Records,fmt/793,RPM Package Manager file 1: Full entry added.
New Records,fmt/794,RPM Package Manager file 2: Full entry added.
New Records,fmt/795,RPM Package Manager file 3: Full entry added.
New Records,fmt/796,Adobe After Effects: Full entry added.
New Records,fmt/797,Apple ProRes: Full entry added. Submitted by National Library of Wales.
New Records,fmt/798,The Neuroimaging Informatics Technology Initiative File format: Full entry added. Submitted by University of Edinburgh.
New Records,fmt/799,WriteNow: Full entry added. Submitted by National Library of New Zealand.
New Records,fmt/800,CSV Schema: Full entry added.
New Records,fmt/801,TAP (ZX Spectrum): Full entry added.
New Records,fmt/802,TAP (Commodore 64): Full entry added.
New Records,fmt/803,Encase Image File Format/Expert Witness Compression Format: Full entry added.
New Records,fmt/804,Logical File Evidence Format: Full entry added.
New Records,fmt/805,XAML Binary Format: Full entry added.
New Records,fmt/806,Level 5 MAT-file format (MATLAB): Full entry added.
New Records,fmt/807,HDF5 0: Full entry added.
New Records,fmt/808,StarOffice Calc 3.x: Full entry added.
New Records,fmt/809,StarOffice Calc 4.x: Full entry added.
New Records,fmt/810,StarOffice Draw 3.x: Full entry added.
New Records,fmt/811,StarOffice Draw 4.x: Full entry added.
New Records,fmt/812,StarOffice Writer 3.x: Full entry added.
New Records,fmt/813,StarOffice Writer 4.x: Full entry added.
New Records,fmt/814,StarOffice Impress 3.x: Full entry added.
New Records,fmt/815,StarOffice Impress 4.x: Full entry added.
New Records,fmt/816,NUT Open Container Format: Full entry added.
New Records,fmt/817,JSON Data Interchange Format: Full entry added.
New Records,fmt/818,YAML: Full entry added.
New Records,fmt/819,CD-ROM/XA (eXtended Architecture): Full entry added.
New Records,fmt/820,T64 Tape Image Format: Full entry added.
New Records,fmt/821,G64 GCR-encoded Disk Image Format: Full entry added.
New Records,fmt/822,CRT C64 Cartridge Image Format: Full entry added.
New Records,fmt/823,P00 C64 Image Format: Full entry added.
New Records,fmt/824,Apple iWork Pages: Skeleton entry added as requested by National Library of New Zealand.
New Records,fmt/825,Apple iWork Numbers: Skeleton entry added as requested by National Library of New Zealand.
New Records,fmt/826,Scriptware Script Format: Full entry added. Submitted by National Library of New Zealand.
Updated Records,fmt/104,Macromedia Flash 1: Added description.
Updated Records,fmt/105,Macromedia Flash 2: Added description.
Updated Records,fmt/106,Macromedia Flash 3: Added description.
Updated Records,fmt/107,Macromedia Flash 4: Added description.
Updated Records,fmt/108,Macromedia Flash 5: Added description.
Updated Records,fmt/109,Macromedia Flash 6: Added description.
Updated Records,fmt/110,Macromedia Flash 7: Added description.
Updated Records,fmt/200,Material Exchange Format Operational Pattern 1a: Adjusted description and changed identification to OP1a only - MXF now has multiple PRONOM entries.
Updated Records,fmt/203,Ogg Vorbis Codec Compressed Multimedia File: Added description.
Updated Records,fmt/286,HDF5 1: Added description. Added .hdf extension. Amended version from 1.0.
Updated Records,fmt/287,HDF5 2: Added description. Added .hdf extension. Amended version from 2.0.
Updated Records,fmt/427,CorelDraw Drawing 12.0: Added description.
Updated Records,fmt/428,CorelDraw Drawing X3: Added description.
Updated Records,fmt/429,CorelDraw Drawing X4: Added description.
Updated Records,fmt/430,CorelDraw Drawing X5: Added description.
Updated Records,fmt/464,CorelDraw Drawing 5.0: Added description.
Updated Records,fmt/465,CorelDraw Drawing 4.0: Added description.
Updated Records,fmt/466,CorelDraw Drawing 2.0: Added description.
Updated Records,fmt/467,CorelDraw Drawing 1.0: Added description.
Updated Records,fmt/505,Adobe Flash 8: Added description.
Updated Records,fmt/506,Adobe Flash 9: Added description.
Updated Records,fmt/507,Adobe Flash 10: Corrected signature through PRONOM Research and added description.
Updated Records,fmt/551,Adobe InDesign Document CS5: Corrected extension. Error identified by National Library New Zealand.
Updated Records,x-fmt/4,Write for Windows Document: Added description.
Updated Records,x-fmt/5,Works for Macintosh Document: Added description.
Updated Records,x-fmt/8,dBASE Database II: Added description.
Updated Records,x-fmt/9,dBASE Database III: Added description.
Updated Records,x-fmt/10,dBASE Database IV: Added description.
Updated Records,x-fmt/11,Revisable-Form-Text Document Content Architecture: Added description.
Updated Records,x-fmt/12,Write for Windows Document: Added description.
Updated Records,x-fmt/13,Tab-separated values: Added description.
Updated Records,x-fmt/17,Microsoft Excel Template: Added description.
Updated Records,x-fmt/18,Comma Separated Values: Added description.
Updated Records,x-fmt/23,Microsoft Excel Backup: Added description.
Updated Records,x-fmt/24,AutoCAD Block Attribute Template: Added description.
Updated Records,x-fmt/28,CALS Compressed Bitmap: Added description.
Updated Records,x-fmt/29,CorelDraw Drawing 6.0: Added description.
Updated Records,x-fmt/33,Corel R.A.V.E: Added description.
Updated Records,x-fmt/34,Corel Presentation Exchange File 5.0: Added description.
Updated Records,x-fmt/35,Corel Presentation Exchange File 6 and Later: Added description.
Updated Records,x-fmt/41,Data Interchange Format: Added description.
