New Records,fmt/684,Vectorworks 2015: Full entry added. Submitted by Pratt Institute School of Information and Library Science
New Records,fmt/685,Quark Xpress 9: Full entry added.
New Records,fmt/686,Vectorworks 2010: Full entry added. Submitted by Pratt Institute School of Information and Library Science
Updated Records,fmt/40,Microsoft Word 97-2003: Added .wbk as an extension and updated description. Submitted by Archives New Zealand - Te Rua Mahara o te Kawanatanga.
Updated Records,fmt/150,JPEG-LS: Corrected extension details. Submitted by the British Library.
Updated Records,fmt/346,"Microsoft Word for Macintosh Document 1.0: Updated description, added apple and mimetype and documentation information. Submitted by the British Library."
Updated Records,fmt/412,Microsoft Word 2007 onwards: Added .wbk as an extension and updated description. Submitted by Archives New Zealand - Te Rua Mahara o te Kawanatanga.
Updated Records,fmt/450,Vectorworks 12.5: Additional binary signature added and updated format description and documentation information. Signature developed through PRONOM Research.
Updated Records,fmt/451,"Vectorworks 2009: Updated description, relationships and documentation information through PRONOM Research."
Updated Records,fmt/527,Broadcast WAVE 2: Corrected signature variant for files that conform to WAVEFORMATEXTENSIBLE. Submitted by State Records New South Wales.
Updated Records,fmt/647,Microsoft Expression Media 2: Simplified signature and signature description as suggested by Archives New Zealand - Te Rua Mahara o te Kawanatanga.
Updated Records,fmt/651,Quark Xpress Data File 10: Updated relationships information through PRONOM Research.
Updated Records,x-fmt/1,"Microsoft Word for Macintosh Document 3.0: Updated description, added mimetype and documentation information. Submitted by the British Library."
Updated Records,x-fmt/19,Paint Shop Pro Image: Updated description.
Updated Records,x-fmt/64,"Microsoft Word for Macintosh Document 4.0: Updated description, documentation information and corrected mimetype information to apple type. Submitted by the British Library."
Updated Records,x-fmt/65,"Microsoft Word for Macintosh Document 5.0: Updated description, documentation information and corrected mimetype information to apple type. Submitted by the British Library."
Updated Records,x-fmt/92,"Adobe Photoshop: Updated format description, documentation and corrected mimetype information to apple type. Submitted by the British Library."
Updated Records,x-fmt/182,Quark Xpress Data File: Added documentation information.
Updated Records,x-fmt/333,"Lotus Approach View File 97: Updated description, documentation information and corrected mimetype information to apple type. Submitted by the British Library."
New Signatures,fmt/684,Vectorworks 2015: Full entry added. Signature developed through PRONOM Research.
New Signatures,fmt/685,Quark Xpress 9: Full entry added.Signature developed through PRONOM Research.
New Signatures,fmt/686,Vectorworks 2010: Full entry added. Signature developed through PRONOM Research.
