New Records,fmt/444,OpenDocument Database 1.1: Outline entry added.
Updated Records,fmt/140,OpenDocument Database 1.0: Priority information added to avoid potential misidentification with OpenDocument Database 1.1.
Updated Records,fmt/424,OpenDocument Database 1.2: Priority information added to avoid potential misidentification with OpenDocument Database 1.1.
Updated Records,x-fmt/258,Microsoft Visio Drawing 2000: Priority information added to avoid potential misidentification with Microsoft Visio Drawing (generic).
Updated Records,fmt/443,Microsoft Visio Drawing 2003: Priority information added to avoid potential misidentification with Microsoft Visio Drawing (generic).
